time,VNINDEX,FUESSV30
2020-08-18,846.43,10.0
2020-08-19,851.21,9.82
2020-08-20,848.21,9.77
2020-08-21,854.78,9.86
2020-08-24,868.68,10.04
2020-08-25,874.12,10.13
2020-08-26,873.47,10.09
2020-08-27,874.71,10.04
2020-08-28,878.98,10.23
2020-08-31,881.65,10.24
2020-09-01,891.73,10.34
2020-09-03,903.97,10.4
2020-09-04,901.54,10.4
2020-09-07,888.25,10.25
2020-09-08,890.14,10.28
2020-09-09,889.32,10.28
2020-09-10,888.82,10.23
2020-09-11,888.97,10.26
2020-09-14,894.57,10.28
2020-09-15,896.26,10.31
2020-09-16,897.47,10.34
2020-09-17,894.04,10.35
2020-09-18,900.95,10.44
2020-09-21,907.94,10.5
2020-09-22,906.19,10.55
2020-09-23,912.5,10.6
2020-09-24,908.58,10.59
2020-09-25,908.27,10.55
2020-09-28,912.5,10.65
2020-09-29,903.98,10.66
2020-09-30,905.21,10.68
2020-10-01,914.09,10.71
2020-10-02,909.91,10.68
2020-10-05,914.68,10.75
2020-10-06,915.67,10.77
2020-10-07,919.72,10.82
2020-10-08,918.84,10.77
2020-10-09,924.0,10.77
2020-10-12,925.83,10.84
2020-10-13,929.86,10.91
2020-10-14,940.18,11.0
2020-10-15,942.76,11.09
2020-10-16,943.3,11.11
2020-10-19,943.69,11.15
2020-10-20,944.42,11.19
2020-10-21,939.03,11.2
2020-10-22,949.9,11.26
2020-10-23,961.26,12.02
2020-10-26,950.8,11.56
2020-10-27,946.47,11.36
2020-10-28,921.05,11.14
2020-10-29,919.08,10.92
2020-10-30,925.47,11.02
2020-11-02,933.68,11.08
2020-11-03,935.41,11.09
2020-11-04,939.76,11.24
2020-11-05,937.75,11.22
2020-11-06,938.29,11.2
2020-11-09,951.99,11.25
2020-11-10,951.9,12.0
2020-11-11,952.22,11.42
2020-11-12,959.28,11.48
2020-11-13,966.29,11.58
2020-11-16,950.79,11.42
2020-11-17,968.9,11.61
2020-11-18,973.53,11.65
2020-11-19,983.26,11.7
2020-11-20,990.0,11.82
2020-11-23,994.19,11.92
2020-11-24,995.76,11.9
2020-11-25,999.94,11.92
2020-11-26,1005.97,11.94
2020-11-27,1010.22,12.02
2020-11-30,1003.08,12.0
2020-12-01,1008.87,12.07
2020-12-02,1014.32,12.15
2020-12-03,1019.8,12.22
2020-12-04,1021.49,12.2
2020-12-07,1029.98,12.29
2020-12-08,1029.26,12.27
2020-12-09,1039.13,12.41
2020-12-10,1030.91,12.35
2020-12-11,1045.96,12.52
2020-12-14,1064.09,12.68
2020-12-15,1055.27,12.5
2020-12-16,1066.99,12.71
2020-12-17,1051.77,12.56
2020-12-18,1067.46,12.89
2020-12-21,1081.08,13.05
2020-12-22,1083.45,13.0
2020-12-23,1078.9,12.98
2020-12-24,1067.52,12.59
2020-12-25,1084.42,13.0
2020-12-28,1091.33,13.02
2020-12-29,1099.49,13.07
2020-12-30,1097.54,13.18
2020-12-31,1103.87,13.33
2021-01-04,1120.47,13.41
2021-01-05,1132.55,13.58
2021-01-06,1143.21,13.8
2021-01-07,1156.49,13.96
2021-01-08,1167.69,14.17
2021-01-11,1184.89,14.38
2021-01-12,1192.28,14.46
2021-01-13,1186.05,14.5
2021-01-14,1187.4,14.35
2021-01-15,1194.2,14.54
2021-01-18,1191.94,14.59
2021-01-19,1131.0,13.96
2021-01-20,1134.68,13.8
2021-01-21,1164.21,14.23
2021-01-22,1166.78,14.26
2021-01-25,1166.05,14.34
2021-01-26,1136.12,13.81
2021-01-27,1097.17,13.52
2021-01-28,1023.94,12.9
2021-01-29,1056.61,13.17
2021-02-01,1035.51,13.2
2021-02-02,1075.53,13.12
2021-02-03,1111.29,13.81
2021-02-04,1112.19,13.85
2021-02-05,1126.91,14.19
2021-02-08,1083.18,13.56
2021-02-09,1114.93,13.97
2021-02-17,1155.78,14.5
2021-02-18,1174.38,14.75
2021-02-19,1173.5,14.75
2021-02-22,1175.04,14.69
2021-02-23,1177.64,14.76
2021-02-24,1162.01,14.5
2021-02-25,1165.43,14.5
2021-02-26,1168.47,14.47
2021-03-01,1186.17,14.84
2021-03-02,1186.61,14.92
2021-03-03,1186.95,14.9
2021-03-04,1168.52,14.59
2021-03-05,1168.69,14.54
2021-03-08,1168.27,14.64
2021-03-09,1161.97,14.54
2021-03-10,1170.08,14.65
2021-03-11,1181.73,14.78
2021-03-12,1181.56,14.84
2021-03-15,1184.56,14.81
2021-03-16,1179.9,14.73
2021-03-17,1186.09,14.81
2021-03-18,1200.94,15.07
2021-03-19,1194.05,14.97
2021-03-22,1194.43,15.0
2021-03-23,1183.45,14.85
2021-03-24,1161.81,14.5
2021-03-25,1163.1,14.58
2021-03-26,1162.21,14.3
2021-03-29,1175.68,14.58
2021-03-30,1186.36,14.83
2021-03-31,1191.44,15.0
2021-04-01,1216.1,15.2
2021-04-02,1224.45,15.34
2021-04-05,1236.05,15.6
2021-04-06,1239.96,15.64
2021-04-07,1242.38,15.6
2021-04-08,1234.89,15.69
2021-04-09,1231.66,15.6
2021-04-12,1252.45,15.9
2021-04-13,1248.33,15.94
2021-04-14,1255.87,16.0
2021-04-15,1247.25,16.1
2021-04-16,1238.71,15.95
2021-04-19,1260.58,16.22
2021-04-20,1268.28,16.36
2021-04-22,1227.82,15.96
2021-04-23,1248.53,16.08
2021-04-26,1215.77,16.0
2021-04-27,1219.75,15.98
2021-04-28,1229.55,15.96
2021-04-29,1239.39,16.24
2021-05-04,1242.2,16.48
2021-05-05,1256.43,16.84
2021-05-06,1250.57,16.8
2021-05-07,1241.81,16.68
2021-05-10,1259.58,17.0
2021-05-11,1256.04,17.05
2021-05-12,1269.09,17.05
2021-05-13,1261.99,17.17
2021-05-14,1266.36,17.2
2021-05-17,1258.7,17.22
2021-05-18,1252.68,17.2
2021-05-19,1262.49,17.39
2021-05-20,1278.22,18.0
2021-05-21,1283.93,17.78
2021-05-24,1297.98,17.77
2021-05-25,1308.58,18.0
2021-05-26,1316.7,17.61
2021-05-27,1303.57,17.6
2021-05-28,1320.46,18.06
2021-05-31,1328.05,18.19
2021-06-01,1337.78,18.59
2021-06-02,1340.78,18.71
2021-06-03,1364.28,18.7
2021-06-04,1374.05,18.71
2021-06-07,1358.78,19.03
2021-06-08,1319.88,18.8
2021-06-09,1332.9,18.8
2021-06-10,1323.58,18.58
2021-06-11,1351.74,18.45
2021-06-14,1361.72,18.7
2021-06-15,1367.36,18.6
2021-06-16,1356.52,18.35
2021-06-17,1359.92,18.22
2021-06-18,1377.77,18.4
2021-06-21,1372.63,18.45
2021-06-22,1379.97,18.65
2021-06-23,1376.87,18.7
2021-06-24,1379.72,18.65
2021-06-25,1390.12,18.72
2021-06-28,1405.81,18.9
2021-06-29,1410.04,19.03
2021-06-30,1408.55,19.07
2021-07-01,1417.08,19.16
2021-07-02,1420.27,19.32
2021-07-05,1411.13,19.41
2021-07-06,1354.79,19.33
2021-07-07,1388.55,18.96
2021-07-08,1374.68,18.81
2021-07-09,1347.14,18.58
2021-07-12,1296.3,17.8
2021-07-13,1297.54,18.06
2021-07-14,1279.91,19.32
2021-07-15,1293.92,18.18
2021-07-16,1299.31,18.23
2021-07-19,1243.51,17.36
2021-07-20,1273.29,17.8
2021-07-21,1270.79,18.0
2021-07-22,1293.67,17.88
2021-07-23,1268.83,19.13
2021-07-26,1272.71,17.94
2021-07-27,1276.93,17.81
2021-07-28,1277.07,17.7
2021-07-29,1293.6,17.74
2021-07-30,1310.05,18.2
2021-08-02,1314.22,19.29
2021-08-03,1332.44,18.8
2021-08-04,1334.74,19.0
2021-08-05,1345.55,19.5
2021-08-06,1341.45,20.85
2021-08-09,1359.86,20.85
2021-08-10,1362.43,19.5
2021-08-11,1357.79,18.71
2021-08-12,1353.05,18.82
2021-08-13,1357.05,18.3
2021-08-16,1370.96,19.58
2021-08-17,1363.09,20.6
2021-08-18,1360.94,19.25
2021-08-19,1374.85,19.4
2021-08-20,1329.43,18.67
2021-08-23,1298.86,19.97
2021-08-24,1298.74,19.0
2021-08-25,1309.55,19.0
2021-08-26,1301.12,19.5
2021-08-27,1313.2,18.17
2021-08-30,1328.14,17.8
2021-08-31,1331.47,17.8
2021-09-01,1334.65,18.0
2021-09-06,1346.39,18.1
2021-09-07,1341.9,18.22
2021-09-08,1333.61,18.2
2021-09-09,1343.98,18.0
2021-09-10,1345.31,17.81
2021-09-13,1341.43,18.2
2021-09-14,1339.7,18.05
2021-09-15,1345.83,17.88
2021-09-16,1345.87,18.0
2021-09-17,1352.64,18.15
2021-09-20,1350.48,18.26
2021-09-21,1339.84,18.6
2021-09-22,1350.68,18.4
2021-09-23,1352.76,18.3
2021-09-24,1351.17,18.43
2021-09-27,1324.99,18.5
2021-09-28,1339.31,17.97
2021-09-29,1339.21,18.5
2021-09-30,1342.06,18.49
2021-10-01,1334.89,18.43
2021-10-04,1339.54,18.5
2021-10-05,1354.63,18.3
2021-10-06,1362.82,18.0
2021-10-07,1365.99,18.24
2021-10-08,1372.73,18.38
2021-10-11,1394.09,19.0
2021-10-12,1394.8,18.51
2021-10-13,1391.91,18.8
2021-10-14,1391.85,19.49
2021-10-15,1392.7,18.78
2021-10-18,1395.53,19.98
2021-10-19,1395.33,19.4
2021-10-20,1393.8,19.5
2021-10-21,1384.77,18.62
2021-10-22,1389.24,19.5
2021-10-25,1385.4,18.45
2021-10-26,1391.63,18.4
2021-10-27,1423.02,18.8
2021-10-28,1438.01,18.86
2021-10-29,1444.27,18.9
2021-11-01,1438.97,18.81
2021-11-02,1452.46,18.84
2021-11-03,1444.3,18.77
2021-11-04,1448.34,18.95
2021-11-05,1456.51,18.9
2021-11-08,1467.57,19.03
2021-11-09,1461.5,19.09
2021-11-10,1465.02,19.09
2021-11-11,1462.35,19.04
2021-11-12,1473.37,18.95
2021-11-15,1476.57,18.93
2021-11-16,1466.45,18.93
2021-11-17,1475.85,18.92
2021-11-18,1469.83,20.23
2021-11-19,1452.35,18.94
2021-11-22,1447.25,18.67
2021-11-23,1463.63,18.9
2021-11-24,1488.87,19.46
2021-11-25,1500.81,19.27
2021-11-26,1493.03,19.34
2021-11-29,1484.84,19.31
2021-11-30,1478.44,19.26
2021-12-01,1485.19,19.44
2021-12-02,1482.05,19.18
2021-12-03,1443.32,19.2
2021-12-06,1413.58,20.32
2021-12-07,1446.77,19.13
2021-12-08,1452.87,18.79
2021-12-09,1467.98,18.78
2021-12-10,1463.54,19.49
2021-12-13,1476.21,19.38
2021-12-14,1476.02,19.17
2021-12-15,1475.5,19.0
2021-12-16,1476.61,19.0
2021-12-17,1479.79,18.71
2021-12-20,1477.33,18.85
2021-12-21,1478.74,18.7
2021-12-22,1477.67,18.7
2021-12-23,1456.96,18.15
2021-12-24,1477.03,18.8
2021-12-27,1488.88,18.8
2021-12-28,1494.39,18.85
2021-12-29,1485.82,18.62
2021-12-30,1485.97,18.72
2021-12-31,1498.28,19.0
2022-01-04,1525.58,19.26
2022-01-05,1522.5,19.0
2022-01-06,1528.57,19.01
2022-01-07,1528.48,18.6
2022-01-10,1503.71,19.0
2022-01-11,1492.31,18.51
2022-01-12,1510.51,19.18
2022-01-13,1496.05,19.02
2022-01-14,1496.02,18.8
2022-01-17,1452.84,18.55
2022-01-18,1438.94,18.59
2022-01-19,1442.79,18.7
2022-01-20,1465.3,19.0
2022-01-21,1472.89,18.99
2022-01-24,1439.71,18.98
2022-01-25,1479.58,18.95
2022-01-26,1481.58,18.95
2022-01-27,1470.76,18.79
2022-01-28,1478.96,18.92
2022-02-07,1497.66,19.21
2022-02-08,1500.99,18.93
2022-02-09,1505.38,18.77
2022-02-10,1506.79,19.15
2022-02-11,1501.71,19.23
2022-02-14,1471.96,18.92
2022-02-15,1492.75,18.9
2022-02-16,1492.1,18.82
2022-02-17,1507.99,19.05
2022-02-18,1504.84,18.8
2022-02-21,1507.13,18.86
